2021-10-07 22:54:31 UTC Syncing #13374552 0x5fde…b563     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12907561 LI:#13374575   14/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:54:39 UTC Syncing #13374552 0x5fde…b563     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12907561 LI:#13374575   14/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:54:41 UTC Syncing #13374552 0x5fde…b563     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12907561 LI:#13374576   14/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:54:49 UTC Syncing #13374553 0x9d92…f731     0.20 blk/s  108.0 tx/s    6.0 Mgas/s      0+   22 Qed Ancient:#12907562 LI:#13374577   14/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:54:54 UTC Syncing #13374554 0x28fa…f883     0.20 blk/s   31.8 tx/s    2.5 Mgas/s      0+   23 Qed Ancient:#12907563 LI:#13374577   14/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:54:59 UTC Syncing #13374555 0x3d0d…6c75     0.20 blk/s   20.0 tx/s    1.4 Mgas/s      0+   23 Qed Ancient:#12907564 LI:#13374578   14/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:55:06 UTC Syncing #13374556 0xe32a…90b4     0.20 blk/s   70.8 tx/s    4.8 Mgas/s      0+   22 Qed Ancient:#12907565 LI:#13374578   14/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:55:09 UTC Syncing #13374558 0x55f1…ec5b     0.40 blk/s    8.8 tx/s    0.6 Mgas/s      0+   21 Qed Ancient:#12907567 LI:#13374579   14/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:55:11 UTC Syncing #13374558 0x55f1…ec5b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12907567 LI:#13374580   14/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:55:17 UTC Syncing #13374558 0x55f1…ec5b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   22 Qed Ancient:#12907567 LI:#13374580   14/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:55:21 UTC Syncing #13374558 0x55f1…ec5b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12907567 LI:#13374581   16/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:55:26 UTC Syncing #13374558 0x55f1…ec5b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12907567 LI:#13374581   18/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:55:31 UTC Syncing #13374558 0x55f1…ec5b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   23 Qed Ancient:#12907567 LI:#13374581   20/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
