2021-10-06 04:01:44 UTC Syncing #13363172 0x1629…1839     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12381319 LI:#13363180   19/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:01:52 UTC Syncing #13363173 0x5254…7bf2     0.20 blk/s   61.4 tx/s    6.0 Mgas/s      0+   10 Qed Ancient:#12381320 LI:#13363183   19/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:01:53 UTC Syncing #13363173 0x5254…7bf2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12381320 LI:#13363184   19/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:02:03 UTC Syncing #13363176 0xdf05…4032     0.60 blk/s   89.2 tx/s    6.5 Mgas/s      0+    9 Qed Ancient:#12381323 LI:#13363185   19/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:02:07 UTC Syncing #13363177 0x9be1…93c4     0.20 blk/s   21.2 tx/s    2.7 Mgas/s      0+    8 Qed Ancient:#12381324 LI:#13363185   19/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:02:11 UTC Syncing #13363178 0x6a49…bbf6     0.40 blk/s   37.8 tx/s    2.7 Mgas/s      0+    7 Qed Ancient:#12381326 LI:#13363186   19/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:02:15 UTC Syncing #13363179 0xb0a8…f1ab     0.20 blk/s   34.0 tx/s    2.4 Mgas/s      0+    6 Qed Ancient:#12381327 LI:#13363186   19/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:02:18 UTC Syncing #13363181 0xd58c…96d0     0.40 blk/s   48.4 tx/s    3.9 Mgas/s      0+    4 Qed Ancient:#12381329 LI:#13363186   19/25 peers      5 MiB chain  748 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:02:50 UTC  Ancient:#12381335 AB:#12384608   18/25 peers      5 MiB chain  529 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:03:17 UTC Imported #13363191 0x62e0…6a18 (135 txs, 14.97 Mgas, 6195 ms, 51.07 KiB)
2021-10-06 04:04:10 UTC Syncing #13363191 0x62e0…6a18     0.05 blk/s    5.2 tx/s    0.5 Mgas/s      0+    9 Qed Ancient:#12384433 LI:#13363199   12/25 peers    568 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
