2021-10-06 04:17:36 UTC Syncing #13363222 0xa5fe…468c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12384597 LI:#13363252   12/25 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:17:36 UTC Syncing #13363222 0xa5fe…468c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12384597 LI:#13363252   12/25 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:17:46 UTC Syncing #13363223 0xe749…bdf6     0.10 blk/s   20.0 tx/s    2.3 Mgas/s      0+   33 Qed Ancient:#12384598 LI:#13363253   10/25 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:17:46 UTC Syncing #13363223 0xe749…bdf6     0.20 blk/s   40.0 tx/s    4.6 Mgas/s      0+   33 Qed Ancient:#12384598 LI:#13363253   10/25 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:17:56 UTC Syncing #13363224 0xa331…939b     0.20 blk/s   30.0 tx/s    2.7 Mgas/s      0+   32 Qed Ancient:#12384599 LI:#13363253    9/25 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:17:56 UTC Syncing #13363225 0x6984…c25a     0.20 blk/s   27.2 tx/s    2.3 Mgas/s      0+   31 Qed Ancient:#12384600 LI:#13363253    9/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:18:07 UTC Syncing #13363225 0x6984…c25a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12384600 LI:#13363254    9/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:18:07 UTC Syncing #13363225 0x6984…c25a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12384600 LI:#13363254    9/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:18:08 UTC Syncing #13363225 0x6984…c25a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12384600 LI:#13363254    9/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:18:13 UTC Syncing #13363225 0x6984…c25a     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12384600 LI:#13363254    8/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:18:22 UTC Syncing #13363226 0x34c0…c938     0.20 blk/s   50.0 tx/s    4.4 Mgas/s      0+   31 Qed Ancient:#12384601 LI:#13363254    8/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:18:27 UTC Syncing #13363227 0xb47b…7320     0.20 blk/s    5.8 tx/s    0.3 Mgas/s      0+   30 Qed Ancient:#12384602 LI:#13363255    8/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:18:28 UTC Syncing #13363227 0xb47b…7320     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12384602 LI:#13363255    8/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:18:33 UTC Syncing #13363227 0xb47b…7320     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12384602 LI:#13363255    8/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:18:38 UTC Syncing #13363227 0xb47b…7320     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12384602 LI:#13363255    8/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:18:43 UTC Syncing #13363227 0xb47b…7320     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12384602 LI:#13363255    8/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:18:48 UTC Syncing #13363227 0xb47b…7320     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12384602 LI:#13363255    8/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:18:54 UTC Syncing #13363228 0xabf5…a649     0.20 blk/s   83.0 tx/s    6.0 Mgas/s      0+   30 Qed Ancient:#12384603 LI:#13363256    8/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:18:58 UTC Syncing #13363228 0xabf5…a649     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   31 Qed Ancient:#12384603 LI:#13363256    8/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:19:03 UTC Syncing #13363228 0xabf5…a649     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   32 Qed Ancient:#12384603 LI:#13363257   11/25 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:19:08 UTC Syncing #13363228 0xabf5…a649     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   33 Qed Ancient:#12384603 LI:#13363258   15/25 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:19:13 UTC Syncing #13363228 0xabf5…a649     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12384603 LI:#13363259   19/25 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:19:21 UTC Syncing #13363229 0xb056…61f2     0.20 blk/s   87.8 tx/s    6.0 Mgas/s      0+   33 Qed Ancient:#12384604 LI:#13363259   20/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:19:23 UTC Syncing #13363229 0xb056…61f2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   34 Qed Ancient:#12384604 LI:#13363260   19/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:19:36 UTC Syncing #13363229 0xb056…61f2     0.08 blk/s   33.5 tx/s    2.3 Mgas/s      0+   35 Qed Ancient:#12384627 LI:#13363261   19/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:19:44 UTC Syncing #13363229 0xb056…61f2     0.17 blk/s   72.1 tx/s    5.0 Mgas/s      0+   34 Qed Ancient:#12384628 LI:#13363261   19/25 peers      6 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:20:19 UTC Syncing #13363229 0xb056…61f2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12384630 LI:#13363266   25/25 peers      6 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:20:19 UTC Syncing #13363229 0xb056…61f2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12384630 LI:#13363266   25/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:20:22 UTC Reorg to #13363230 0x2bd5…5287 (0xb056…61f2 #13363228 0xabf5…a649 0xaf04…cd32)
2021-10-06 04:20:24 UTC Syncing #13363230 0x2bd5…5287     0.33 blk/s  109.0 tx/s   10.0 Mgas/s      0+   38 Qed Ancient:#12384631 LI:#13363266   23/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:20:24 UTC Syncing #13363230 0x2bd5…5287     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   38 Qed Ancient:#12384827 LI:#13363266   23/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:20:33 UTC Syncing #13363230 0x2bd5…5287     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12384829 LI:#13363266   23/25 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:20:40 UTC Syncing #13363231 0x7a31…540a     0.18 blk/s   69.7 tx/s    5.3 Mgas/s      0+   36 Qed Ancient:#12384830 LI:#13363267   23/25 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:20:47 UTC Syncing #13363232 0x305d…d92c     0.20 blk/s   47.0 tx/s    4.5 Mgas/s      0+   37 Qed Ancient:#12384831 LI:#13363267   22/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:20:54 UTC Syncing #13363235 0xb9fc…bcbf     0.30 blk/s   49.2 tx/s    4.0 Mgas/s      0+   34 Qed Ancient:#12384834 LI:#13363267   21/25 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:20:54 UTC Syncing #13363232 0x305d…d92c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   37 Qed Ancient:#12384831 LI:#13363267   21/25 peers      5 MiB chain   11 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:21:01 UTC Syncing #13363236 0x3ea8…5445     0.80 blk/s  117.4 tx/s    9.0 Mgas/s      0+   33 Qed Ancient:#12384835 LI:#13363267   21/25 peers      5 MiB chain   10 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:21:09 UTC Syncing #13363238 0xdb92…78e9     0.20 blk/s   32.0 tx/s    2.2 Mgas/s      0+   31 Qed Ancient:#12384837 LI:#13363267   20/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:21:09 UTC Syncing #13363238 0xdb92…78e9     0.40 blk/s   64.0 tx/s    4.3 Mgas/s      0+   31 Qed Ancient:#12384837 LI:#13363267   20/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:21:16 UTC Syncing #13363239 0x7ce6…c305     0.20 blk/s   47.0 tx/s    4.4 Mgas/s      0+   30 Qed Ancient:#12384838 LI:#13363267   20/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:21:30 UTC Syncing #13363240 0x7842…6ce1     0.20 blk/s   64.4 tx/s    5.5 Mgas/s      0+   30 Qed Ancient:#12384839 LI:#13363268   18/25 peers      5 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:21:30 UTC Syncing #13363241 0x15db…dcfe     0.20 blk/s   41.6 tx/s    3.6 Mgas/s      0+   28 Qed Ancient:#12384841 LI:#13363269   18/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:21:30 UTC Syncing #13363241 0x15db…dcfe     0.30 blk/s   62.4 tx/s    5.3 Mgas/s      0+   28 Qed Ancient:#12384841 LI:#13363269   18/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:21:37 UTC Syncing #13363242 0x071b…996b     0.20 blk/s   52.2 tx/s    3.8 Mgas/s      0+   28 Qed Ancient:#12384842 LI:#13363269   15/25 peers      6 MiB chain    9 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:21:44 UTC Syncing #13363244 0x4266…e2af     0.40 blk/s   37.2 tx/s    2.4 Mgas/s      0+   26 Qed Ancient:#12384844 LI:#13363269   15/25 peers      6 MiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:21:44 UTC Syncing #13363246 0x3b36…cb78     0.40 blk/s   46.9 tx/s    3.4 Mgas/s      0+   24 Qed Ancient:#12384846 LI:#13363269   15/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:21:49 UTC Syncing #13363246 0x3b36…cb78     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   24 Qed Ancient:#12384846 LI:#13363270   15/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:21:59 UTC Syncing #13363247 0x1013…ccfd     0.20 blk/s  105.4 tx/s    6.0 Mgas/s      0+   25 Qed Ancient:#12384847 LI:#13363271   15/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:21:59 UTC Syncing #13363248 0x75be…88b1     0.20 blk/s   73.1 tx/s    4.3 Mgas/s      0+   24 Qed Ancient:#12384848 LI:#13363271   15/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:22:07 UTC Syncing #13363249 0x1659…2a38     0.20 blk/s   52.2 tx/s    4.0 Mgas/s      0+   23 Qed Ancient:#12384849 LI:#13363271   13/25 peers      6 MiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:22:14 UTC Syncing #13363252 0x90ca…226b     0.30 blk/s   59.0 tx/s    4.3 Mgas/s      0+   20 Qed Ancient:#12384852 LI:#13363271   12/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:22:14 UTC Syncing #13363250 0x5e09…b2d6     0.20 blk/s   21.4 tx/s    1.9 Mgas/s      0+   22 Qed Ancient:#12384850 LI:#13363271   12/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:22:21 UTC Syncing #13363252 0x90ca…226b     0.40 blk/s   96.6 tx/s    6.8 Mgas/s      0+   21 Qed Ancient:#12384852 LI:#13363273   10/25 peers      6 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:22:29 UTC Syncing #13363254 0x1bd2…7907     0.30 blk/s   48.5 tx/s    4.1 Mgas/s      0+   19 Qed Ancient:#12384855 LI:#13363273   10/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:22:29 UTC Syncing #13363253 0x4cee…6787     0.40 blk/s   75.2 tx/s    6.7 Mgas/s      0+   20 Qed Ancient:#12384854 LI:#13363273   10/25 peers      2 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:22:36 UTC Syncing #13363255 0x7b8d…71fa     0.40 blk/s   92.6 tx/s    7.1 Mgas/s      0+   18 Qed Ancient:#12384856 LI:#13363273   10/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:22:44 UTC Syncing #13363258 0x385c…de40     0.30 blk/s   50.3 tx/s    3.8 Mgas/s      0+   15 Qed Ancient:#12384859 LI:#13363273    9/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:22:44 UTC Syncing #13363256 0x562b…f25e     0.20 blk/s   65.2 tx/s    4.3 Mgas/s      0+   17 Qed Ancient:#12384857 LI:#13363273    9/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:22:52 UTC Syncing #13363259 0x882c…58f0     0.60 blk/s   55.0 tx/s    4.7 Mgas/s      0+   15 Qed Ancient:#12384860 LI:#13363274    8/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:23:00 UTC Syncing #13363261 0xe5e2…1490     0.20 blk/s   18.0 tx/s    1.3 Mgas/s      0+   13 Qed Ancient:#12384862 LI:#13363274    8/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:23:00 UTC Syncing #13363261 0xe5e2…1490     0.40 blk/s   36.0 tx/s    2.7 Mgas/s      0+   13 Qed Ancient:#12384862 LI:#13363274    8/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:23:10 UTC Syncing #13363265 0x362e…0fd1     0.40 blk/s   81.5 tx/s    5.3 Mgas/s      0+   12 Qed Ancient:#12384866 LI:#13363277    7/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:23:10 UTC Syncing #13363262 0x07db…b6fb     0.20 blk/s  115.0 tx/s    6.0 Mgas/s      0+   15 Qed Ancient:#12384863 LI:#13363277    7/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:23:19 UTC Syncing #13363265 0x362e…0fd1     0.60 blk/s   48.0 tx/s    4.6 Mgas/s      0+   13 Qed Ancient:#12384866 LI:#13363278    7/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:23:19 UTC Syncing #13363265 0x362e…0fd1     0.30 blk/s   24.0 tx/s    2.3 Mgas/s      0+   13 Qed Ancient:#12384866 LI:#13363278    5/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
