2021-10-06 04:22:36 UTC Syncing #13363255 0x7b8d…71fa     0.40 blk/s   92.6 tx/s    7.1 Mgas/s      0+   18 Qed Ancient:#12384856 LI:#13363273   10/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:22:44 UTC Syncing #13363258 0x385c…de40     0.30 blk/s   50.3 tx/s    3.8 Mgas/s      0+   15 Qed Ancient:#12384859 LI:#13363273    9/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:22:44 UTC Syncing #13363256 0x562b…f25e     0.20 blk/s   65.2 tx/s    4.3 Mgas/s      0+   17 Qed Ancient:#12384857 LI:#13363273    9/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:22:52 UTC Syncing #13363259 0x882c…58f0     0.60 blk/s   55.0 tx/s    4.7 Mgas/s      0+   15 Qed Ancient:#12384860 LI:#13363274    8/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:23:00 UTC Syncing #13363261 0xe5e2…1490     0.20 blk/s   18.0 tx/s    1.3 Mgas/s      0+   13 Qed Ancient:#12384862 LI:#13363274    8/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:23:00 UTC Syncing #13363261 0xe5e2…1490     0.40 blk/s   36.0 tx/s    2.7 Mgas/s      0+   13 Qed Ancient:#12384862 LI:#13363274    8/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:23:10 UTC Syncing #13363265 0x362e…0fd1     0.40 blk/s   81.5 tx/s    5.3 Mgas/s      0+   12 Qed Ancient:#12384866 LI:#13363277    7/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:23:10 UTC Syncing #13363262 0x07db…b6fb     0.20 blk/s  115.0 tx/s    6.0 Mgas/s      0+   15 Qed Ancient:#12384863 LI:#13363277    7/25 peers      2 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:23:19 UTC Syncing #13363265 0x362e…0fd1     0.60 blk/s   48.0 tx/s    4.6 Mgas/s      0+   13 Qed Ancient:#12384866 LI:#13363278    7/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:23:19 UTC Syncing #13363265 0x362e…0fd1     0.30 blk/s   24.0 tx/s    2.3 Mgas/s      0+   13 Qed Ancient:#12384866 LI:#13363278    5/25 peers      2 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:23:28 UTC Syncing #13363266 0x3250…60cb     0.10 blk/s   43.4 tx/s    3.0 Mgas/s      0+   12 Qed Ancient:#12384867 LI:#13363278    5/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 04:23:28 UTC Syncing #13363266 0x3250…60cb     0.20 blk/s   86.8 tx/s    6.0 Mgas/s      0+   12 Qed Ancient:#12384867 LI:#13363278    5/25 peers      3 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
