2021-10-07 22:46:51 UTC  Ancient:#12905626 AB:#12908424   13/25 peers      4 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:47:35 UTC  Ancient:#12905626 AB:#12909137   15/25 peers      5 MiB chain  564 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:47:46 UTC Syncing #13374539 0xd673…c51b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12905626 LI:#13374543   11/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:47:51 UTC Syncing #13374539 0xd673…c51b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12905626 LI:#13374543   12/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:47:56 UTC Syncing #13374539 0xd673…c51b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12905626 LI:#13374543   15/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:48:26 UTC  Ancient:#12905627 AB:#12909137   17/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:48:38 UTC Syncing #13374541 0x96f6…99e5     0.08 blk/s   30.2 tx/s    2.4 Mgas/s      0+    6 Qed Ancient:#12905684 LI:#13374546   21/25 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:48:43 UTC Syncing #13374541 0x96f6…99e5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12905685 LI:#13374546   20/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:48:55 UTC Syncing #13374541 0x96f6…99e5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12905685 LI:#13374546   24/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:49:01 UTC Syncing #13374541 0x96f6…99e5     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed Ancient:#12905685 LI:#13374546   22/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:50:22 UTC Syncing #13374542 0xd184…bcb0     0.01 blk/s    9.5 tx/s    0.4 Mgas/s      0+   11 Qed Ancient:#12907079 LI:#13374552   12/25 peers     18 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:50:31 UTC Syncing #13374542 0xd184…bcb0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12907437 LI:#13374553    9/25 peers    0 bytes chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:50:31 UTC Syncing #13374542 0xd184…bcb0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12907437 LI:#13374554    9/25 peers   744 bytes chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:50:38 UTC Syncing #13374542 0xd184…bcb0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12907437 LI:#13374554    9/25 peers   744 bytes chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:50:41 UTC Syncing #13374542 0xd184…bcb0     0.20 blk/s   76.8 tx/s    6.0 Mgas/s      0+   12 Qed Ancient:#12907438 LI:#13374555   10/25 peers     92 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-07 22:50:46 UTC Syncing #13374542 0xd184…bcb0     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12907438 LI:#13374555   10/25 peers     92 KiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
