2021-10-06 07:41:13 UTC Syncing #13364154 0xa5d7…62a1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12429941 LI:#13364165   35/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:41:18 UTC Syncing #13364154 0xa5d7…62a1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12429941 LI:#13364165   35/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:41:23 UTC Syncing #13364154 0xa5d7…62a1     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#12429941 LI:#13364165   35/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:41:28 UTC Syncing #13364155 0xb336…5994     0.20 blk/s   53.2 tx/s    6.0 Mgas/s      0+   10 Qed Ancient:#12429943 LI:#13364166   36/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:41:33 UTC Syncing #13364156 0x5070…612e     0.20 blk/s   17.6 tx/s    1.4 Mgas/s      0+    9 Qed Ancient:#12429944 LI:#13364166   37/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:41:38 UTC Syncing #13364157 0x5771…ad78     0.20 blk/s   18.8 tx/s    2.0 Mgas/s      0+    8 Qed Ancient:#12429945 LI:#13364166   37/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:41:43 UTC Syncing #13364157 0x5771…ad78     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#12429945 LI:#13364167   37/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:41:48 UTC Syncing #13364158 0xd5bf…18fd     0.20 blk/s   45.4 tx/s    3.0 Mgas/s      0+    9 Qed Ancient:#12429946 LI:#13364168   37/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:41:53 UTC Syncing #13364159 0xba68…4551     0.20 blk/s   31.8 tx/s    1.4 Mgas/s      0+    8 Qed Ancient:#12429947 LI:#13364169   37/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:41:58 UTC Syncing #13364160 0x353b…0d1e     0.20 blk/s   28.6 tx/s    2.5 Mgas/s      0+    9 Qed Ancient:#12429948 LI:#13364169   38/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:42:03 UTC Syncing #13364160 0x353b…0d1e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12429948 LI:#13364171   39/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:42:08 UTC Syncing #13364161 0x8398…be0f     0.20 blk/s   33.6 tx/s    2.4 Mgas/s      0+   11 Qed Ancient:#12429949 LI:#13364172   39/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:42:13 UTC Syncing #13364161 0x8398…be0f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#12429949 LI:#13364172   38/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:42:18 UTC Syncing #13364161 0x8398…be0f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12429949 LI:#13364173   37/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:42:23 UTC Syncing #13364161 0x8398…be0f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12429949 LI:#13364174   36/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:42:28 UTC Syncing #13364161 0x8398…be0f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12429949 LI:#13364174   37/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:42:33 UTC Syncing #13364161 0x8398…be0f     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12429949 LI:#13364174   37/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:42:38 UTC Syncing #13364162 0x1938…ab80     0.20 blk/s   67.4 tx/s    5.1 Mgas/s      0+   13 Qed Ancient:#12429950 LI:#13364175   37/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:42:43 UTC Syncing #13364162 0x1938…ab80     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12429950 LI:#13364175   37/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:42:48 UTC Syncing #13364162 0x1938…ab80     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12429950 LI:#13364175   38/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:42:53 UTC Syncing #13364163 0x1e20…5ce6     0.20 blk/s   53.0 tx/s    3.4 Mgas/s      0+   14 Qed Ancient:#12429951 LI:#13364177   37/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:42:58 UTC Syncing #13364164 0xbb40…0427     0.20 blk/s   15.4 tx/s    1.4 Mgas/s      0+   13 Qed Ancient:#12429952 LI:#13364177   38/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:43:03 UTC Syncing #13364166 0x03f9…4321     0.40 blk/s   89.8 tx/s    5.7 Mgas/s      0+   12 Qed Ancient:#12429955 LI:#13364178   38/50 peers      5 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:43:08 UTC Syncing #13364167 0x6a30…193a     0.20 blk/s   30.4 tx/s    2.2 Mgas/s      0+   11 Qed Ancient:#12429956 LI:#13364178   37/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:43:13 UTC Syncing #13364169 0xc31f…7de4     0.40 blk/s   38.4 tx/s    3.8 Mgas/s      0+   10 Qed Ancient:#12429958 LI:#13364179   36/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:43:13 UTC Reorg to #13364169 0xc1c5…5b18 (0xc31f…7de4 #13364168 0xecf5…d942 )
2021-10-06 07:43:18 UTC Syncing #13364171 0x1478…3551     0.60 blk/s   65.0 tx/s    5.0 Mgas/s      0+    8 Qed Ancient:#12429961 LI:#13364180   36/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:43:23 UTC Syncing #13364171 0x1478…3551     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    8 Qed Ancient:#12429961 LI:#13364180   36/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:43:28 UTC Syncing #13364174 0x9af9…bf61     0.60 blk/s   85.8 tx/s    8.9 Mgas/s      0+    5 Qed Ancient:#12429965 LI:#13364180   36/50 peers      5 MiB chain  964 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:43:33 UTC Syncing #13364175 0x8598…59e2     0.20 blk/s   62.8 tx/s    4.9 Mgas/s      0+    4 Qed Ancient:#12429966 LI:#13364180   36/50 peers      5 MiB chain  827 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:43:43 UTC Syncing #13364177 0xbb49…c770     0.20 blk/s   18.8 tx/s    1.3 Mgas/s      0+    5 Qed Ancient:#12429968 LI:#13364182   36/50 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:43:48 UTC Syncing #13364178 0x5b8c…c31b     0.20 blk/s   61.2 tx/s    4.4 Mgas/s      0+    5 Qed Ancient:#12429969 LI:#13364183   35/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:43:53 UTC Syncing #13364179 0x2717…955c     0.20 blk/s   42.2 tx/s    3.6 Mgas/s      0+    4 Qed Ancient:#12429970 LI:#13364183   35/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:44:03 UTC Syncing #13364180 0x5ec1…c346     0.10 blk/s    1.9 tx/s    0.2 Mgas/s      0+    4 Qed Ancient:#12429972 LI:#13364184   35/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:44:08 UTC Syncing #13364180 0x5ec1…c346     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    4 Qed Ancient:#12429972 LI:#13364184   35/50 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
