2021-10-06 07:55:53 UTC Syncing #13364215 0xaf27…57ce     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12432578 LI:#13364230    2/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:55:59 UTC Syncing #13364215 0xaf27…57ce     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12432578 LI:#13364230    4/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:56:03 UTC Syncing #13364215 0xaf27…57ce     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12432578 LI:#13364230    6/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:56:09 UTC Syncing #13364215 0xaf27…57ce     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12432578 LI:#13364230    8/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:56:13 UTC Syncing #13364216 0xe19d…74f2     0.20 blk/s   69.4 tx/s    6.0 Mgas/s      0+   13 Qed Ancient:#12432580 LI:#13364230    7/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:56:18 UTC Syncing #13364216 0xe19d…74f2     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#12432580 LI:#13364230    7/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:56:23 UTC Syncing #13364217 0xa88d…b794     0.20 blk/s   27.6 tx/s    2.4 Mgas/s      0+   12 Qed Ancient:#12432581 LI:#13364229    7/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:56:28 UTC Syncing #13364217 0xa88d…b794     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12432581 LI:#13364232    7/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:56:33 UTC Syncing #13364217 0xa88d…b794     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12432581 LI:#13364232    5/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:56:38 UTC Syncing #13364218 0x923d…c2a0     0.20 blk/s   45.2 tx/s    3.4 Mgas/s      0+   13 Qed Ancient:#12432582 LI:#13364232    8/25 peers      4 MiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:57:18 UTC Syncing #13364219 0x0420…c8e4     0.03 blk/s   10.1 tx/s    0.9 Mgas/s      0+   14 Qed Ancient:#12432925 LI:#13364233    4/25 peers    0 bytes chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:57:18 UTC Syncing #13364219 0x0420…c8e4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   14 Qed Ancient:#12433115 LI:#13364233    4/25 peers      4 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 07:58:01 UTC Syncing #13364219 0x0420…c8e4     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12433731 LI:#13364239    6/25 peers      9 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
