2021-10-06 08:00:58 UTC Syncing #13364230 0xc9c4…61de     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12433804 LI:#13364249    6/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:01:22 UTC Syncing #13364232 0x9ed3…133c     0.20 blk/s   35.5 tx/s    3.4 Mgas/s      0+   16 Qed Ancient:#12433807 LI:#13364249    6/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:01:22 UTC Syncing #13364232 0x9ed3…133c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   16 Qed Ancient:#12433807 LI:#13364249    6/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:01:22 UTC Syncing #13364230 0xc9c4…61de     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12433804 LI:#13364249    6/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:01:28 UTC Syncing #13364232 0x9ed3…133c     0.39 blk/s   68.5 tx/s    6.5 Mgas/s      0+   17 Qed Ancient:#12433807 LI:#13364250    5/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:01:33 UTC Syncing #13364232 0x9ed3…133c     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12433807 LI:#13364251    4/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:01:49 UTC Syncing #13364233 0xe661…77ae     0.12 blk/s   29.1 tx/s    3.3 Mgas/s      0+   19 Qed Ancient:#12433808 LI:#13364252    3/25 peers      3 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:02:00 UTC Syncing #13364233 0xe661…77ae     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12433887 LI:#13364252    3/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:02:00 UTC Syncing #13364234 0xfd37…0d67     0.06 blk/s    9.7 tx/s    0.5 Mgas/s      0+   18 Qed Ancient:#12433900 LI:#13364252    3/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:02:00 UTC Syncing #13364234 0xfd37…0d67     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12433900 LI:#13364252    3/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:02:09 UTC Syncing #13364234 0xfd37…0d67     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12433901 LI:#13364252    3/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:02:09 UTC Syncing #13364234 0xfd37…0d67     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12433901 LI:#13364252    3/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:02:13 UTC Syncing #13364234 0xfd37…0d67     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12433901 LI:#13364252    3/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:02:18 UTC Syncing #13364234 0xfd37…0d67     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12433901 LI:#13364253    3/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:02:30 UTC Syncing #13364236 0x27bb…a618     0.20 blk/s   44.1 tx/s    2.4 Mgas/s      0+   16 Qed Ancient:#12433903 LI:#13364253    3/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:02:30 UTC Syncing #13364234 0xfd37…0d67     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12433901 LI:#13364253    3/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:02:40 UTC Syncing #13364237 0xdd5d…58c8     0.30 blk/s   53.9 tx/s    3.6 Mgas/s      0+   15 Qed Ancient:#12433904 LI:#13364253    2/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:02:40 UTC Syncing #13364236 0x27bb…a618     0.40 blk/s   88.2 tx/s    4.7 Mgas/s      0+   16 Qed Ancient:#12433903 LI:#13364253    2/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:02:45 UTC Syncing #13364237 0xdd5d…58c8     0.20 blk/s   19.6 tx/s    2.6 Mgas/s      0+   15 Qed Ancient:#12433904 LI:#13364253    2/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:02:48 UTC Syncing #13364237 0xdd5d…58c8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12433904 LI:#13364253    2/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:03:03 UTC Syncing #13364240 0x41fb…1619     0.30 blk/s   25.1 tx/s    1.9 Mgas/s      0+   12 Qed Ancient:#12433907 LI:#13364253    2/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:03:03 UTC Syncing #13364237 0xdd5d…58c8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12433904 LI:#13364253    2/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:03:09 UTC Syncing #13364240 0x41fb…1619     0.30 blk/s   25.1 tx/s    1.9 Mgas/s      0+   12 Qed Ancient:#12433907 LI:#13364253    2/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:03:09 UTC Syncing #13364240 0x41fb…1619     0.20 blk/s   16.7 tx/s    1.2 Mgas/s      0+   12 Qed Ancient:#12433907 LI:#13364253    2/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:03:13 UTC Syncing #13364240 0x41fb…1619     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12433907 LI:#13364253    2/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:03:18 UTC Syncing #13364240 0x41fb…1619     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   12 Qed Ancient:#12433907 LI:#13364253    2/25 peers      5 MiB chain    4 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:03:23 UTC Syncing #13364240 0x41fb…1619     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   18 Qed Ancient:#12433907 LI:#13364259    4/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:03:32 UTC Syncing #13364241 0xe4cb…074e     0.20 blk/s   84.6 tx/s    5.9 Mgas/s      0+   17 Qed Ancient:#12433908 LI:#13364259    4/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:03:33 UTC Syncing #13364241 0xe4cb…074e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12433908 LI:#13364259    3/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:03:45 UTC Syncing #13364241 0xe4cb…074e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12433908 LI:#13364261    6/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:03:45 UTC Syncing #13364241 0xe4cb…074e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12433908 LI:#13364261    6/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:03:48 UTC Syncing #13364242 0x92db…d9c3     0.35 blk/s   75.8 tx/s    7.0 Mgas/s      0+   19 Qed Ancient:#12433908 LI:#13364261    4/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:04:02 UTC Syncing #13364243 0x3e6d…edb3     0.20 blk/s    1.4 tx/s    0.1 Mgas/s      0+   17 Qed Ancient:#12433910 LI:#13364261    6/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:04:02 UTC Syncing #13364243 0x3e6d…edb3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   17 Qed Ancient:#12433910 LI:#13364261    5/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:04:21 UTC Syncing #13364245 0x2772…bf2b     0.19 blk/s   28.5 tx/s    2.2 Mgas/s      0+   15 Qed Ancient:#12433912 LI:#13364261    5/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:04:21 UTC Syncing #13364244 0xde0d…7735     0.19 blk/s   45.5 tx/s    3.4 Mgas/s      0+   16 Qed Ancient:#12433911 LI:#13364261    5/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:04:21 UTC Syncing #13364245 0x2772…bf2b     0.12 blk/s    6.3 tx/s    0.6 Mgas/s      0+   15 Qed Ancient:#12433912 LI:#13364261    5/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:04:23 UTC Syncing #13364245 0x2772…bf2b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12433912 LI:#13364261    4/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:04:28 UTC Syncing #13364245 0x2772…bf2b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   15 Qed Ancient:#12433912 LI:#13364261    4/25 peers      5 MiB chain    5 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:04:37 UTC Syncing #13364245 0x2772…bf2b     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12433912 LI:#13364266    5/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:04:45 UTC Syncing #13364246 0x12e8…c8fa     0.10 blk/s   47.4 tx/s    3.0 Mgas/s      0+   19 Qed Ancient:#12433913 LI:#13364266    4/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:04:45 UTC Syncing #13364246 0x12e8…c8fa     0.20 blk/s   94.8 tx/s    6.0 Mgas/s      0+   19 Qed Ancient:#12433913 LI:#13364266    4/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:04:48 UTC Syncing #13364246 0x12e8…c8fa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   19 Qed Ancient:#12433913 LI:#13364266    4/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-06 08:05:00 UTC Syncing #13364246 0x12e8…c8fa     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   20 Qed Ancient:#12433913 LI:#13364267    7/25 peers      5 MiB chain    6 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
