2021-10-08 07:53:53 UTC Syncing #13376931 0xf96a…f1cb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#13012945 LI:#13376942    1/25 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:53:53 UTC Syncing #13376929 0xcedd…61b3     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   13 Qed Ancient:#13012942 LI:#13376942    1/25 peers     92 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:53:53 UTC Syncing #13376931 0xf96a…f1cb     0.20 blk/s   21.9 tx/s    1.8 Mgas/s      0+   11 Qed Ancient:#13012945 LI:#13376942    1/25 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:54:05 UTC Syncing #13376932 0xe167…13d8     0.15 blk/s   18.3 tx/s    1.5 Mgas/s      0+   10 Qed Ancient:#13012946 LI:#13376942    1/25 peers    146 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:54:05 UTC Syncing #13376931 0xf96a…f1cb     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   11 Qed Ancient:#13012945 LI:#13376942    1/25 peers    145 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:54:16 UTC Syncing #13376932 0xe167…13d8     0.10 blk/s   12.2 tx/s    1.0 Mgas/s      0+   10 Qed Ancient:#13012946 LI:#13376942    0/25 peers    146 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:54:16 UTC Syncing #13376932 0xe167…13d8     0.20 blk/s   24.4 tx/s    2.0 Mgas/s      0+   10 Qed Ancient:#13012946 LI:#13376942    0/25 peers    146 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:54:16 UTC Syncing #13376932 0xe167…13d8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   10 Qed Ancient:#13012946 LI:#13376942    0/25 peers    146 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:54:20 UTC Syncing #13376933 0xefa6…8147     0.20 blk/s   83.4 tx/s    4.9 Mgas/s      0+    9 Qed Ancient:#13012948 LI:#13376942    0/25 peers    430 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:54:25 UTC Syncing #13376933 0xefa6…8147     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#13012948 LI:#13376942    0/25 peers    430 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:54:30 UTC Syncing #13376933 0xefa6…8147     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    9 Qed Ancient:#13012948 LI:#13376942    0/25 peers    430 KiB chain    3 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:54:32 UTC Could not revert to previous block, last: 13376942 (0xcdc3…6a55)
2021-10-08 07:54:39 UTC Syncing #13376933 0xefa6…8147     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+   29 Qed Ancient:#13012948 LI:#13376962    2/25 peers    430 KiB chain    8 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:54:51 UTC Syncing #13376935 0xe613…c35f     0.13 blk/s   18.4 tx/s    1.5 Mgas/s      0+   27 Qed Ancient:#13012950 LI:#13376962    2/25 peers    430 KiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:54:51 UTC Syncing #13376935 0xe613…c35f     0.40 blk/s   55.2 tx/s    4.4 Mgas/s      0+   27 Qed Ancient:#13012950 LI:#13376962    2/25 peers    430 KiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:54:51 UTC Syncing #13376935 0xe613…c35f     0.20 blk/s   27.6 tx/s    2.2 Mgas/s      0+   27 Qed Ancient:#13012950 LI:#13376962    2/25 peers    430 KiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:55:04 UTC Syncing #13376936 0xdbad…5e7f     0.20 blk/s   39.2 tx/s    2.1 Mgas/s      0+   26 Qed Ancient:#13012951 LI:#13376962    2/25 peers    816 KiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-08 07:55:04 UTC Syncing #13376936 0xdbad…5e7f     0.10 blk/s   19.6 tx/s    1.0 Mgas/s      0+   26 Qed Ancient:#13012951 LI:#13376962    2/25 peers    816 KiB chain    7 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
